Row Labels,Genotype,Range,Row,Rep,Commercial,Average of RM,,,,,BL_DATE,Planting_DATE,Pollen_Date,Silking_Date,Days_Planting_to_BL,Days_Planting_to_Pollen,Days_Pollen_BL,_8_10_23,8_16_23,8_23_23,8_30_23,9_5_23,9_13_23,9_20_23,9_29_23,Weight (lb),Moisture (%),Test Weight (lb/bu),Harvest Sequence,Yield,Moisture_8_22_23,Moisture_8_29_23,Moisture_9_5_23,Moisture_9_12_23,Moisture_9_18_23,Moisture_9_25_23,Moisture_10_2_23,Moisture_10_10_23
621011,W10004_0026 X PHN46_3IIH6_0008,3,45,1,NO,90.95,90.95,0,0.051799006,9_20_23,9/20/23,5/11/23,7/25/23,7/25/23,132,75,57,0.166432935,0.134550686,0.519106866,0.113812672,0.112609078,0.072867653,0.051799006,0.023798234,26,16.2,55.5,50,178.3,62.0758483,55.66600398,46.52087475,39.84063745,37.3280943,30.33932136,26.74650699,21.35728543
621012,DKC40-45RIB,3,43,1,YES,90,90,0,0.04544294,9_20_23,9/20/23,5/11/23,7/23/23,7/24/23,132,73,59,0.182455099,0.133358818,0.524323978,0.105751001,0.095173562,0.063739941,0.04544294,0.024431512,24.14,15.7,56.7,6,166.5,56.66003976,50.99206349,42.74353877,36.65338645,32.28346457,21.55688623,18.6,15.6
621013,W10004_0444 X PHK76_LH82_0158,4,43,1,NO,100.105,100.105,0,0.044617749,9_20_23,9/20/23,5/11/23,7/24/23,7/25/23,132,74,58,0.13669249,0.119406556,0.47901513,0.092440027,0.098425841,0.065692341,0.044617749,0.028229659,28.84,18.8,57.1,8,191.6,61.55378486,50.49701789,41,37.17693837,33.33333333,30.2,26.04373757,21.31474104
621014,W10004_0877 X W606S_PHN46_0132,4,45,1,NO,90.95,90.95,0,0.055276248,9_20_23,9/20/23,5/11/23,7/27/23,7/27/23,132,77,55,0.139792135,0.124728166,0.531874491,0.118571001,0.102003388,0.069974499,0.055276248,0.029978883,21,16.7,55.3,52,143.1,66.13545817,54.98007968,47.01195219,40.43824701,36.9261477,35.58648111,31.54761905,NA
621015,PHPR5 X PH24E,4,47,1,NO,95.1,95.1,0,,10_8_23,10/8/23,5/11/23,7/26/23,7/26/23,150,76,74,0.14740227,0.135696666,0.578182866,0.119001759,0.124172917,0.08439575,0.073179932,0.051006135,26.63,19.4,55.9,96,175.6,63.54581673,54.49101796,47.60956175,41.4,38.76739563,34.79125249,33.13373253,28.88446215
621016,3AZA1 X PHP02,4,49,1,NO,90.95,90.95,0,0.043289301,9_29_23,9/29/23,5/11/23,7/18/23,7/20/23,141,68,73,0.116416761,0.121019475,0.457461686,0.110285044,0.099212463,0.064572649,0.04881788,0.043289301,25.88,17.2,56.6,140,175.3,57.4,47.10578842,42.31536926,38.4,35.91269841,32.13572854,28.14371257,20.4
621017,W10004_1047 X PH24E,4,51,1,NO,90.95,90.95,0,,10_8_23,10/8/23,5/11/23,7/24/23,7/26/23,150,74,76,0.13148257,0.121196662,0.495894372,0.10897949,0.096922413,0.08083256,0.057664151,0.054060001,30.28,17.6,54.6,184,204.2,65.6,60.03976143,50,45.92445328,39.2,34.53093812,28.68525896,31.15079365
621018,W10004_1078 X 3IIH6_PHK76_0318,4,53,1,NO,90.95,90.95,0,0.048089374,9_29_23,9/29/23,5/11/23,7/23/23,7/24/23,141,73,68,0.155221678,0.144988905,0.588315581,0.140679357,0.113133731,0.091492531,0.065064944,0.048089374,29.51,16.5,57,228,201.6,59.6,52.8,42,39.52095808,35.62992126,30.15873016,23.55289421,21.11553785
621019,ZS01459 X PH24E,5,53,1,NO,95.1,95.1,0,0.041051422,9_29_23,9/29/23,5/11/23,7/23/23,7/24/23,141,73,68,0.126361768,0.108446163,0.494106508,0.117621863,0.097346191,0.082107465,0.064867608,0.041051422,23.7,18.7,56.3,230,157.7,62.5498008,49.8015873,43.33996024,38.1237525,36,31.61033797,28.4,22.8
621020,DKC37-86RIB,5,51,1,YES,87,87,0,0.033874341,9_29_23,9/29/23,5/11/23,7/17/23,7/19/23,141,67,74,0.113818909,0.111748575,0.454245044,0.10641487,0.082600802,0.062494512,0.047617641,0.033874341,20.98,15.5,55,186,145.1,54.69061876,48.00796813,41.4,34.79125249,32.4,28.2306163,18.36327345,19.56087824
621021,DKC48-12RIB,5,49,1,YES,98,98,0,0.052094025,9_29_23,9/29/23,5/11/23,7/23/23,7/24/23,141,73,68,0.160923554,0.141101241,0.606957427,0.136603468,0.145807038,0.090022723,0.065323369,0.052094025,24,15,55.5,142,166.9,61.9047619,56.68662675,49,39.12175649,37.972167,34.39363817,29.6222664,21.35728543
621022,DKC29-89RIB,5,47,1,YES,79,79,0,0.054704851,9_13_23,9/13/23,5/11/23,7/15/23,7/17/23,125,65,60,0.132427829,0.111454216,0.461621899,0.097291556,0.088971315,0.054704851,0.044068718,0.051204847,22.33,16.2,56,98,153.1,50.8,44.33399602,34.53093812,33.7972167,26.09561753,23.70517928,18.09145129,14.34262948
621023,W10004_0738 X PH24E,5,45,1,NO,90.95,90.95,0,,10_8_23,10/8/23,5/11/23,7/23/23,7/24/23,150,73,77,0.143363106,0.119584383,0.501483101,0.105190818,0.098070244,0.071213827,0.062812349,0.04862892,28.05,17.5,54.4,54,189.4,62.74900398,52.29540918,45.30938124,39.32135729,36.52694611,34.4,32.66932271,26.64015905
621024,PH54B X LH244,5,43,1,NO,95.1,95.1,0,0.031074129,9_29_23,9/29/23,5/11/23,7/23/23,7/25/23,141,73,68,0.108018581,0.104125136,0.416288154,0.082905185,0.080913566,0.0522138,0.041710811,0.031074129,27.1,18.9,56.9,10,179.8,61.8762475,47.70459082,42.2,37.25099602,36.85258964,32.47011952,27.4,21.07355865
621025,LH166 X LH244,6,43,1,NO,100.105,100.105,0,,10_17_23,10/17/23,5/11/23,7/26/23,7/28/23,159,76,83,0.118492856,0.12420666,0.517777005,0.103636291,0.110128354,0.076601235,0.071354749,0.052615997,20.47,18.3,55.5,12,136.8,71,56.88622754,50,41.8,39.56262425,37.64940239,33.8,35.05976096
